text,label
"Congratulations! You have won Rs 25,00,000 in KBC lottery. Send your bank details and Aadhar number to claim prize immediately.",fraud
"URGENT: Your account will be blocked in 24 hours. Click here to update your KYC now: http://kyc-verify-sbi.tk/update",fraud
"Dear customer your parcel is held at customs. Pay Rs 499 custom duty via this link to release it http://parcel-track-india.xyz",fraud
"This is CBI officer speaking. A parcel with your Aadhar number is used in illegal drug trafficking. You are under digital arrest. Do not disconnect the call.",fraud
"Your Aadhar card is linked to a money laundering case. Stay on video call with our officer or you will be arrested within 1 hour.",fraud
"RBI has flagged your bank account for suspicious activity. Transfer your funds to this secure government account to protect them.",fraud
"You have been selected for a free iPhone 15. Pay Rs 99 shipping charge to claim your gift now: http://free-iphone-claim.tk",fraud
"Your electricity bill is pending, connection will be disconnected tonight. Update your details on http://eb-payment-quick.ml",fraud
"Income tax refund of Rs 15,750 is approved. Click to receive it directly to your bank account http://it-refund-gov.tk",fraud
"We are calling from Mumbai police cyber cell. Your number is involved in a cybercrime case. Share OTP to verify your identity.",fraud
"Your SIM card will be deactivated in 2 hours due to KYC issue. Call this number immediately or share OTP to keep it active.",fraud
"Congratulations you have been chosen as lucky winner of WhatsApp lottery worth 12 lakh. Contact agent immediately with bank details.",fraud
"Dear user your netflix subscription payment failed. Update payment info here http://netflix-billing-update.info",fraud
"This is Customs Department Delhi. Your courier contains illegal items and is seized. Pay penalty online to avoid arrest warrant.",fraud
"Your PAN card will be deactivated. Complete e-KYC within 24 hrs by clicking http://pan-ekyc-verify.ga",fraud
"Digital arrest notice: You are under investigation by Narcotics Control Bureau. Remain on this call and share your bank OTP for verification.",fraud
"Your loan of Rs 5,00,000 has been pre-approved with zero documents. Click to claim instantly http://instant-loan-approval.tk",fraud
"Job offer: Earn Rs 5000 daily by liking YouTube videos from home. Register now and pay Rs 500 registration fee.",fraud
"Your UPI account has been credited with Rs 9,999 by mistake. Please return via this UPI ID immediately or legal action will follow.",fraud
"Get instant personal loan without any documents just aadhar and pan required visit http://quick-cash-loan.cf now",fraud
"Hi, are we still meeting for lunch tomorrow at 1pm near the office?",safe
"Your OTP for login is 482913. Do not share this OTP with anyone. Valid for 10 minutes.",safe
"Reminder: your electricity bill of Rs 1200 is due on 15th July, pay through the official app or website.",safe
"Team meeting rescheduled to 4 PM today in conference room B. Please confirm attendance.",safe
"Your Amazon order #402-1938271 has been shipped and will arrive by Friday.",safe
"Hey, happy birthday! Hope you have a great day, let's catch up this weekend.",safe
"Your flight PNR ABC123 is confirmed for 10th August, Mumbai to Delhi, departure 6:45 AM.",safe
"This is a reminder that your dentist appointment is scheduled for tomorrow at 11 AM.",safe
"Salary credited to your account for the month of June. Thank you for your hard work.",safe
"Your college semester exam timetable has been uploaded on the student portal, please check.",safe
"Please find attached the meeting notes from today's project discussion.",safe
"Your electricity meter reading was recorded successfully, no action needed.",safe
"Thanks for shopping with us! Your invoice has been emailed to your registered address.",safe
"Your bank statement for the month of June is now available in your net banking account.",safe
"Reminder from your gym: your membership renews next week, no payment needed right now.",safe
"Your food order from Zomato is out for delivery and will reach in 20 minutes.",safe
"Your Aadhar update request has been successfully processed at the UIDAI center.",safe
"Congratulations on your promotion! The HR team will share the new offer letter soon.",safe
"The library book you borrowed is due for return in 3 days, please renew if needed.",safe
"Your monthly newsletter from the university career cell is now available.",safe
"You have an unusual login attempt from a new device, verify if this was you: http://accounts.google.com/verify",suspicious
"Your card ending 4532 was used for a transaction of Rs 2500, if not you reply STOP immediately.",suspicious
"We noticed a new sign in to your account, please confirm your identity to keep account safe.",suspicious
"Your subscription payment could not be processed, please update billing details in your app.",suspicious
"Limited time offer! Get 50 percent cashback on your next recharge, click to know more.",suspicious
"Your delivery partner is trying to reach you, please share alternate contact number for the parcel.",suspicious
"Verify your bank account to continue using UPI services without interruption, click below.",suspicious
"Your insurance policy is about to lapse, renew now to avoid loss of benefits, call our agent.",suspicious
"Dear customer, your KYC is pending, please visit nearest branch or complete online within 7 days.",suspicious
"You are eligible for a special discount coupon worth Rs 500, redeem before it expires today.",suspicious
"Your account shows unusual activity, please login to confirm your recent transactions.",suspicious
"Get a free credit score check today, no charges apply, click the link to view report.",suspicious
"Your mobile number is due for a re-verification as per new TRAI guidelines, please confirm details.",suspicious
"Your recent complaint has been registered, our team will contact you within 48 hours.",safe
"Please submit your assignment before the deadline on Friday 5 PM through the portal.",safe
"Your water bill payment of Rs 350 has been received successfully, thank you.",safe
"Your OTP is 738291 for resetting your password, do not share with anyone.",safe
"Congratulations! Your investment portfolio has grown by 12 percent this quarter as per your statement.",safe
"You are invited to the annual college tech fest happening next month, register on the college website.",safe
"Fake police call: We have detected your Aadhar in a cybercrime case, you must not tell anyone and stay on video call for verification, transfer funds to escrow account for safety.",fraud
"This is TRAI, your number will be disconnected due to fraud complaints, press 9 to speak to an officer immediately or share your OTP.",fraud
"Your Aadhar linked bank account is under scanner by Enforcement Directorate. Do not tell family, join video call now for digital arrest verification.",fraud
"Scan this QR code to receive Rs 5000 cashback instantly, hurry offer ends today.",fraud
"Pay using this QR to unlock your prize amount of Rs 10,000 which has been reserved for you.",fraud
"Your UPI PIN has expired, scan the attached QR and enter PIN to reactivate immediately.",fraud
